EN,instanceLogon-findByInstanceLogon-fail,Failed to find InstanceLogon by instanceLogon,VEC-MINOR-ERROR
EN,instanceLogon-find-fail,Failed to find InstanceLogon,VEC-MINOR-ERROR
EN,instanceLogon-getAll-fail,Failed to get all instanceLogon,VEC-MINOR-ERROR
EN,instanceLogon-save-fail,Failed to save InstanceLogon,VEC-MINOR-ERROR
EN,instanceLogon-update-fail,Failed to update InstanceLogon,VEC-MINOR-ERROR
ES,role-delete-fail,Falló la eliminación del Rol,VEC-MINOR-ERROR
ES,role-findByRoleBase-fail,Búsqueda fallida de Rol por rol,VEC-MINOR-ERROR
ES,role-find-fail,Búsqueda fallida de Rol,VEC-MINOR-ERROR
ES,role-getAll-fail,Búsqueda fallida de todos los Rol,VEC-MINOR-ERROR
ES,role-save-fail,Almacenamiento fallido de Rol,VEC-MINOR-ERROR
ES,role-update-fail,Actualización fallida de Rol,VEC-MINOR-ERROR
EN,role-delete-fail,Failed to delete Role,VEC-MINOR-ERROR
EN,role-findByRoleBase-fail,Failed to find Role by role,VEC-MINOR-ERROR
EN,role-find-fail,Failed to find Role,VEC-MINOR-ERROR
EN,role-getAll-fail,Failed to get all Role,VEC-MINOR-ERROR
EN,role-save-fail,Failed to save Role,VEC-MINOR-ERROR
EN,role-update-fail,Failed to update Role,VEC-MINOR-ERROR
ES,ssoUser-delete-fail,Falló la eliminación del SSOUser,VEC-MINOR-ERROR
ES,ssoUser-delete-success,Usuario eliminado exitosamente,VEM-RESULTS
ES,ssoUser-findBySsoUser-fail,Búsqueda fallida de SSOUser por ssoUser,VEC-MINOR-ERROR
ES,ssoUser-find-fail,Búsqueda fallida de SSOUser,VEC-MINOR-ERROR
ES,ssoUser-getAll-fail,Búsqueda fallida de todos los SSOUser,VEC-MINOR-ERROR
ES,ssoUser-save-fail,Almacenamiento fallido de SSOUser,VEC-MINOR-ERROR
ES,ssoUser-update-fail,Actualización fallida de SSOUser,VEC-MINOR-ERROR
ES,ssoUser-findByUserName-fail,Búsqueda fallida de SSOUser por userName,VEC-MINOR-ERROR
EN,ssoUser-delete-fail,Failed to delete SSOUSer,VEC-MINOR-ERROR
EN,ssoUser-findBySsoUser-fail,Failed to find SSOUser by ssoUser,VEC-MINOR-ERROR
EN,ssoUser-find-fail,Failed to find SSOUser,VEC-MINOR-ERROR
EN,ssoUser-getAll-fail,Failed to get all SSOUser,VEC-MINOR-ERROR
EN,ssoUser-save-fail,Failed to save SSOUser,VEC-MINOR-ERROR
EN,ssoUser-update-fail,Failed to update SSOUser,VEC-MINOR-ERROR
EN,ssoUser-findByUserName-fail,Failed to find SSOUser by userName,VEC-MINOR-ERROR
ES,bpuFunction-save-fail,Almacenamiento fallido del BpuFunction,VEC-MINOR-ERROR
ES,bpuFunction-delete-fail,Falló la eliminación del BpuFunction,VEC-MINOR-ERROR
ES,bpuFunction-getFunctionsByBpu-fail,Búsqueda fallida de BpuFunction por BPU,VEC-MINOR-ERROR
EN,bpuFunction-save-fail,Failed to save BpuFunction,VEC-MINOR-ERROR
EN,bpuFunction-delete-fail,Failed to delete BpuFunction,VEC-MINOR-ERROR
EN,bpuFunction-getFunctionsByBpu-fail,Failed to get BpuFunction by BPU,VEC-MINOR-ERROR
ES,workingArea-delete-fail,Falló la eliminación del Área de Trabajo,VEC-MINOR-ERROR
ES,workingArea-findByWorkingArea-fail,Búsqueda fallida de Área de Trabajo por Área de Trabajo,VEC-MINOR-ERROR
ES,workingArea-find-fail,Búsqueda fallida de Área de Trabajo,VEC-MINOR-ERROR
